[2025-06-16 11:07:08] Response of ASPExcel: {'W': 120, 'T': 10, 'B': 1, 'Angle': 90, 'a': 60, 'Icc': 12, 'Force': 27000, 'NbrePhase': 4}
[2025-06-16 11:07:10] Response of ASPExcel: {'W': 120, 'T': 10, 'B': 1, 'Angle': 90, 'a': 60, 'Icc': 12, 'Force': 32000, 'NbrePhase': 4}
[2025-06-16 11:07:12] Response of ASPExcel: {'W': 120, 'T': 10, 'B': 1, 'Angle': 90, 'a': 75, 'Icc': 12, 'Force': 17000, 'NbrePhase': 4}
[2025-06-16 11:07:24] Response of ASPExcel: {'W': 120, 'T': 10, 'B': 1, 'Angle': 90, 'a': 75, 'Icc': 120, 'Force': 13100, 'NbrePhase': 4}
[2025-06-16 11:07:26] Response of ASPExcel: {'W': 120, 'T': 10, 'B': 1, 'Angle': 90, 'a': 70, 'Icc': 120, 'Force': 12000, 'NbrePhase': 4}
[2025-06-16 11:07:28] Response of ASPExcel: {'W': 120, 'T': 10, 'B': 1, 'Angle': 90, 'a': 110, 'Icc': 120, 'Force': 15000, 'NbrePhase': 4}
[2025-06-16 11:07:30] Response of ASPExcel: {'W': 120, 'T': 10, 'B': 1, 'Angle': 90, 'a': 75, 'Icc': 120, 'Force': 25000, 'NbrePhase': 4}
[2025-06-16 11:07:33] Response of ASPExcel: {'W': 120, 'T': 10, 'B': 1, 'Angle': 90, 'a': 125, 'Icc': 120, 'Force': 18000, 'NbrePhase': 4}
[2025-06-16 11:07:35] Response of ASPExcel: {'W': 120, 'T': 10, 'B': 1, 'Angle': 90, 'a': 60, 'Icc': 120, 'Force': 27000, 'NbrePhase': 4}
[2025-06-16 11:07:37] Response of ASPExcel: {'W': 120, 'T': 10, 'B': 1, 'Angle': 90, 'a': 60, 'Icc': 120, 'Force': 32000, 'NbrePhase': 4}
[2025-06-16 11:07:39] Response of ASPExcel: {'W': 120, 'T': 10, 'B': 1, 'Angle': 90, 'a': 75, 'Icc': 120, 'Force': 17000, 'NbrePhase': 4}
